epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,336.736,0.87699,0.93167,0.86592,1.13237,0.8321,0.69312,0.7561,0.53739,0.8321,0.69312,0.75662,0.5542,0.96787,0.91721,1.32522,1.32006,0.0014277,0.0014277,0.0014277
31,346.574,0.84288,0.96141,0.84189,1.14188,0.88739,0.6625,0.79595,0.59743,0.88739,0.6625,0.7886,0.59317,1.00153,0.97558,1.06846,1.31385,0.00141945,0.00141945,0.00141945
32,357.631,0.77814,0.89606,0.81432,1.10193,0.85812,0.71667,0.8606,0.62972,0.85812,0.71667,0.8606,0.62381,0.84418,0.94788,1.26934,1.19499,0.0014112,0.0014112,0.0014112
33,368.655,0.77069,0.84356,0.766,1.09202,0.6614,0.59583,0.63835,0.49424,0.6614,0.59583,0.63632,0.48814,1.02033,1.3388,1.67282,1.41078,0.00140295,0.00140295,0.00140295
34,378.773,0.77176,0.92868,0.75675,1.0808,0.95836,0.72756,0.82346,0.62875,0.95836,0.72756,0.82346,0.63233,0.86453,0.85189,1.02711,1.16011,0.0013947,0.0013947,0.0013947
35,389.836,0.74543,0.81327,0.73989,1.05044,0.81041,0.77917,0.79288,0.62708,0.81041,0.77917,0.79288,0.60469,0.81559,0.94901,1.14131,1.13533,0.00138644,0.00138644,0.00138644
36,399.617,0.75397,0.87159,0.74576,1.07711,0.7758,0.8661,0.87146,0.66049,0.7758,0.8661,0.87102,0.66892,0.82824,0.93342,0.90442,1.1291,0.00137819,0.00137819,0.00137819
37,410.604,0.73567,0.81189,0.68197,1.03987,0.91595,0.73276,0.81251,0.61521,0.91595,0.73276,0.81251,0.61039,0.87817,1.00616,1.04772,1.19808,0.00136994,0.00136994,0.00136994
38,420.43,0.75706,0.82938,0.70675,1.06515,0.79628,0.73894,0.74377,0.58073,0.79628,0.73894,0.74377,0.58126,0.81863,0.84306,1.13869,1.1935,0.00136169,0.00136169,0.00136169
39,430.172,0.75733,0.81409,0.70191,1.05738,0.91686,0.69856,0.7523,0.59377,0.91686,0.69856,0.75523,0.59262,0.88726,1.02664,1.19854,1.18604,0.00135344,0.00135344,0.00135344
40,439.952,0.76686,0.82913,0.74179,1.08364,0.75116,0.67228,0.79564,0.62905,0.75116,0.67228,0.79564,0.64275,0.79899,0.92952,1.05727,1.20731,0.00134519,0.00134519,0.00134519
41,449.724,0.73188,0.84563,0.68444,1.04879,0.91392,0.72083,0.83575,0.65443,0.91392,0.72083,0.83575,0.67507,0.81718,0.8415,1.49729,1.19698,0.00133693,0.00133693,0.00133693
42,460.789,0.74302,0.76547,0.73685,1.08285,0.79847,0.82216,0.86323,0.67048,0.79847,0.82216,0.84973,0.69006,0.8014,1.04963,0.79452,1.17252,0.00132868,0.00132868,0.00132868
43,471.789,0.7383,0.82664,0.71702,1.06612,0.74518,0.6875,0.76755,0.5926,0.74518,0.6875,0.76755,0.6071,0.91674,1.04315,1.06929,1.27576,0.00132043,0.00132043,0.00132043
44,481.543,0.71381,0.77716,0.64076,1.04288,0.94179,0.83333,0.90686,0.70928,0.94179,0.83333,0.90686,0.71481,0.84065,0.86124,0.77081,1.16837,0.00131218,0.00131218,0.00131218
45,492.545,0.66491,0.70338,0.62908,1.02112,0.88034,0.8375,0.8749,0.68582,0.88034,0.8375,0.8749,0.66371,0.74494,0.82584,0.82028,1.11127,0.00130393,0.00130393,0.00130393
46,502.395,0.6881,0.77431,0.61527,1.0189,0.82136,0.75417,0.82008,0.65902,0.82136,0.75417,0.83669,0.6623,0.75931,0.86104,0.91294,1.1287,0.00129568,0.00129568,0.00129568
47,512.251,0.68755,0.80346,0.64317,1.02722,0.70262,0.7875,0.76915,0.59254,0.70262,0.7875,0.76915,0.61295,0.82853,1.10909,1.07933,1.22362,0.00128742,0.00128742,0.00128742
48,522.156,0.67265,0.77887,0.67121,1.03776,0.87794,0.76451,0.81684,0.63762,0.87794,0.76451,0.81684,0.65805,0.84602,0.987,0.95017,1.18633,0.00127917,0.00127917,0.00127917
49,531.967,0.68435,0.78108,0.71761,1.03722,0.79493,0.8375,0.84464,0.67558,0.79493,0.8375,0.84464,0.69602,0.78689,0.91579,0.77283,1.11708,0.00127092,0.00127092,0.00127092
50,541.782,0.70379,0.73661,0.68024,1.03451,0.6547,0.52444,0.51236,0.41163,0.6547,0.52444,0.51432,0.42632,0.92286,1.0215,1.88086,1.27554,0.00126267,0.00126267,0.00126267
51,551.683,0.64798,0.76449,0.61111,0.99192,0.64656,0.5875,0.57519,0.45651,0.60533,0.5625,0.56017,0.45476,0.82849,1.45244,1.52702,1.18632,0.00125442,0.00125442,0.00125442
52,561.584,0.64973,0.6893,0.58742,1.00727,0.84817,0.7875,0.87173,0.71251,0.84817,0.7875,0.86781,0.70145,0.76389,1.07707,0.80948,1.11417,0.00124617,0.00124617,0.00124617
53,571.433,0.64414,0.72947,0.58731,0.99363,0.82322,0.6795,0.74497,0.6115,0.82322,0.6795,0.75158,0.61672,0.8671,1.11368,1.02161,1.22812,0.00123791,0.00123791,0.00123791
54,581.313,0.61811,0.71501,0.5751,0.9947,0.69398,0.7125,0.75985,0.60675,0.69398,0.7125,0.75985,0.60034,0.79095,0.97559,0.95714,1.15618,0.00122966,0.00122966,0.00122966
55,591.204,0.65972,0.74493,0.5794,1.00842,0.87179,0.84167,0.85792,0.68347,0.87179,0.84167,0.85792,0.68345,0.7903,0.85461,0.8704,1.13853,0.00122141,0.00122141,0.00122141
56,601.102,0.64497,0.67588,0.55459,0.98453,0.91872,0.81898,0.86172,0.72267,0.91872,0.81898,0.86172,0.7016,0.73771,1.03649,0.82668,1.08843,0.00121316,0.00121316,0.00121316
57,612.21,0.59952,0.64391,0.53655,0.96907,0.94479,0.78533,0.85338,0.69649,0.94479,0.78533,0.85338,0.68023,0.7572,0.9509,0.79468,1.11452,0.00120491,0.00120491,0.00120491
58,622.089,0.64024,0.73725,0.5825,0.99281,0.83382,0.85833,0.87657,0.69837,0.83382,0.85833,0.88297,0.69969,0.73973,0.84499,0.7782,1.0771,0.00119666,0.00119666,0.00119666
59,631.932,0.66062,0.72036,0.61386,1.0349,0.85043,0.80833,0.86133,0.71616,0.85043,0.80833,0.86112,0.71169,0.69667,0.79534,0.72268,1.0504,0.0011884,0.0011884,0.0011884
60,643.063,0.62473,0.68286,0.56091,0.97768,0.8922,0.75833,0.86208,0.72332,0.8922,0.75833,0.86657,0.71742,0.64517,0.8664,0.69188,1.00444,0.00118015,0.00118015,0.00118015
61,654.223,0.65894,0.76913,0.59156,1.00675,0.97062,0.70064,0.84479,0.66638,0.97062,0.70064,0.85202,0.67324,0.81478,0.86417,0.85166,1.16901,0.0011719,0.0011719,0.0011719
62,664.182,0.61488,0.71071,0.55458,0.99257,0.91969,0.8375,0.92454,0.77279,0.91969,0.8375,0.92454,0.79337,0.67286,0.77792,0.62071,1.05195,0.00116365,0.00116365,0.00116365
63,675.305,0.58452,0.62314,0.51372,0.95752,0.94981,0.69295,0.86385,0.72605,0.94981,0.69295,0.86385,0.70344,0.6611,0.91356,0.74748,1.01473,0.0011554,0.0011554,0.0011554
64,685.226,0.61375,0.66821,0.5553,1.00051,0.96755,0.70109,0.82599,0.69364,0.96755,0.70109,0.81715,0.6804,0.71209,1.11385,0.83746,1.07012,0.00114715,0.00114715,0.00114715
65,695.048,0.60145,0.65455,0.54787,0.96927,0.93061,0.75552,0.86512,0.70446,0.93061,0.75552,0.86512,0.69799,0.76744,0.99842,0.69139,1.10405,0.00113889,0.00113889,0.00113889
66,704.915,0.5775,0.64654,0.5052,0.9553,0.94355,0.80833,0.91125,0.73235,0.94355,0.80833,0.92281,0.74816,0.79581,0.86511,0.671,1.1543,0.00113064,0.00113064,0.00113064
67,714.748,0.60887,0.65922,0.55663,0.97804,0.86387,0.6625,0.69378,0.57954,0.86387,0.6625,0.69276,0.58807,0.70786,0.95744,1.09736,1.06505,0.00112239,0.00112239,0.00112239
68,724.643,0.59961,0.66209,0.56046,0.97141,0.96387,0.7625,0.85201,0.71159,0.96387,0.7625,0.85201,0.71913,0.69367,0.77411,0.75437,1.08979,0.00111414,0.00111414,0.00111414
69,734.524,0.57602,0.65999,0.51895,0.95046,0.87816,0.7875,0.88742,0.72381,0.87816,0.7875,0.88742,0.73151,0.7072,0.94159,0.75841,1.05039,0.00110589,0.00110589,0.00110589
70,744.467,0.58524,0.66654,0.49002,0.95441,0.84117,0.7875,0.83988,0.69555,0.84117,0.7875,0.84337,0.67755,0.68595,1.02833,0.79016,1.04456,0.00109764,0.00109764,0.00109764
71,754.294,0.62392,0.69997,0.55895,0.99094,0.82994,0.7125,0.79938,0.64741,0.82994,0.7125,0.79012,0.63698,0.75962,1.10059,0.89456,1.11666,0.00108938,0.00108938,0.00108938
72,764.169,0.56651,0.66689,0.49759,0.96227,0.93484,0.79522,0.867,0.73385,0.93484,0.79522,0.867,0.70477,0.63142,0.91738,0.82861,1.01572,0.00108113,0.00108113,0.00108113
73,773.997,0.56394,0.68929,0.51444,0.95142,0.8293,0.75833,0.79842,0.66675,0.8293,0.75833,0.79842,0.65203,0.66322,0.89314,0.87818,1.02397,0.00107288,0.00107288,0.00107288
74,783.836,0.5609,0.63634,0.4967,0.94182,0.96318,0.7875,0.91642,0.74134,0.96318,0.7875,0.91642,0.75526,0.71068,0.81157,0.67003,1.09742,0.00106463,0.00106463,0.00106463
75,793.7,0.5538,0.60469,0.47428,0.9626,0.87222,0.88333,0.93221,0.78453,0.87222,0.88333,0.93221,0.79029,0.69867,0.79062,0.62273,1.06642,0.00105638,0.00105638,0.00105638
76,804.939,0.57447,0.61363,0.48354,0.94996,0.92684,0.83333,0.91473,0.783,0.92684,0.83333,0.91473,0.77278,0.68014,0.91994,0.61992,1.08706,0.00104813,0.00104813,0.00104813
77,814.755,0.54062,0.54895,0.47291,0.92407,0.91312,0.70374,0.79402,0.6619,0.91312,0.70374,0.79402,0.63639,0.71439,1.12098,0.83344,1.10453,0.00103987,0.00103987,0.00103987
78,824.626,0.56808,0.64461,0.5156,0.95842,0.93312,0.77491,0.89992,0.71633,0.93312,0.77491,0.89992,0.72364,0.70213,0.9891,0.68413,1.09115,0.00103162,0.00103162,0.00103162
79,834.456,0.53262,0.6322,0.49054,0.9396,0.91959,0.83593,0.93144,0.77827,0.91959,0.83593,0.93144,0.77536,0.65622,0.81628,0.58535,1.05419,0.00102337,0.00102337,0.00102337
80,844.569,0.52602,0.55916,0.48441,0.94806,0.98562,0.8375,0.95003,0.7884,0.98562,0.8375,0.93286,0.77908,0.63838,0.86258,0.56448,1.02029,0.00101512,0.00101512,0.00101512
81,854.72,0.52335,0.58306,0.46562,0.93773,0.87566,0.7875,0.8413,0.68495,0.87566,0.7875,0.8413,0.67377,0.69018,0.78187,0.87632,1.05961,0.00100687,0.00100687,0.00100687
82,864.605,0.52016,0.60735,0.45267,0.9313,0.96665,0.90833,0.96144,0.78328,0.96665,0.90833,0.96144,0.78984,0.67384,0.8171,0.49577,1.04637,0.000998616,0.000998616,0.000998616
83,874.732,0.52805,0.61959,0.45938,0.93626,0.9293,0.8625,0.9097,0.77592,0.9293,0.8625,0.91071,0.77716,0.64847,0.78302,0.56141,1.03876,0.000990365,0.000990365,0.000990365
