epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.7117,0.55102,0.85034,1.19457,1.0501,0.00418,0.325,0.00317,0.00118,0.00294,0.3,0.00224,0.00121,2.43362,138.892,14.3506,2.48281,0.000551987,0.000551987,0.000551987
2,70.0192,0.5903,0.53589,0.62093,1.06022,0.14847,0.31667,0.05495,0.02579,0.15259,0.3375,0.06441,0.03101,2.02595,2.15681,4.19307,2.18231,0.00110491,0.00110491,0.00110491
3,96.6792,0.60605,0.59602,0.59584,1.061,0.12406,0.1875,0.12805,0.06054,0.15783,0.275,0.11934,0.06232,2.30119,2.26055,4.2075,2.28575,0.00165509,0.00165509,0.00165509
4,123.46,0.54352,0.49211,0.52621,1.01428,0.57965,0.16667,0.09035,0.05573,0.58967,0.1875,0.09267,0.06136,1.67261,1.50877,3.00718,1.68359,0.00165462,0.00165462,0.00165462
5,148.958,0.4748,0.44813,0.50492,0.9656,0.31725,0.31667,0.18502,0.11343,0.31725,0.31667,0.1878,0.12296,1.61438,1.51406,3.65084,1.72217,0.0016505,0.0016505,0.0016505
6,175.528,0.43794,0.45959,0.46038,0.94908,0.27667,0.36667,0.22765,0.14672,0.27667,0.36667,0.22625,0.16342,1.56272,1.63921,2.76196,1.56566,0.00164637,0.00164637,0.00164637
7,202.039,0.40866,0.42645,0.42786,0.92469,0.34739,0.3375,0.31484,0.22432,0.34739,0.3375,0.31484,0.22392,1.41099,1.47299,2.34156,1.49946,0.00164225,0.00164225,0.00164225
8,228.815,0.39222,0.40398,0.40993,0.91149,0.3632,0.4,0.32737,0.24445,0.3632,0.4,0.32742,0.2626,1.28716,1.32346,2.48951,1.37652,0.00163812,0.00163812,0.00163812
9,255.363,0.36491,0.37478,0.4069,0.89944,0.31705,0.37083,0.26951,0.17677,0.31705,0.37083,0.26951,0.18557,1.66724,1.71973,2.82819,1.7407,0.00163399,0.00163399,0.00163399
10,280.852,0.35423,0.36179,0.38051,0.88488,0.22334,0.50546,0.31251,0.21387,0.22334,0.50546,0.31726,0.23951,1.20852,1.16448,2.32692,1.31459,0.00162987,0.00162987,0.00162987
11,306.128,0.33045,0.36332,0.35734,0.87786,0.36738,0.45343,0.35212,0.25054,0.36738,0.45343,0.35257,0.26674,1.14481,1.17828,2.47359,1.35241,0.00162574,0.00162574,0.00162574
12,332.865,0.33064,0.33528,0.36806,0.87307,0.25598,0.5625,0.26021,0.18231,0.25598,0.5625,0.26076,0.19863,1.31181,1.24739,2.15711,1.49876,0.00162162,0.00162162,0.00162162
13,358.165,0.31255,0.32168,0.34057,0.86865,0.41748,0.6375,0.46982,0.33078,0.41779,0.6448,0.48705,0.37829,1.20301,1.1995,1.63335,1.35116,0.00161749,0.00161749,0.00161749
14,384.72,0.31124,0.31134,0.35161,0.86073,0.44605,0.45417,0.40362,0.29057,0.44605,0.45417,0.40362,0.30592,1.16391,1.1532,1.69067,1.367,0.00161336,0.00161336,0.00161336
15,409.976,0.29989,0.31276,0.32847,0.85328,0.43127,0.62083,0.45263,0.32694,0.43127,0.62083,0.45419,0.36317,1.05253,1.03947,1.5062,1.27532,0.00160924,0.00160924,0.00160924
16,435.471,0.3001,0.30858,0.31697,0.85163,0.32444,0.57268,0.38579,0.28881,0.32444,0.57268,0.38585,0.30023,1.01941,1.13991,1.75433,1.25776,0.00160511,0.00160511,0.00160511
17,460.788,0.2917,0.30325,0.30287,0.8369,0.36447,0.6125,0.421,0.3147,0.36447,0.6125,0.421,0.3401,1.08561,1.01878,1.57455,1.25363,0.00160099,0.00160099,0.00160099
18,486.066,0.28556,0.27158,0.31995,0.84751,0.41491,0.57839,0.44287,0.3383,0.41491,0.57839,0.43714,0.34841,1.07897,1.10885,1.62067,1.31066,0.00159686,0.00159686,0.00159686
19,511.343,0.28404,0.28013,0.30814,0.85049,0.38236,0.5125,0.47563,0.37521,0.38236,0.5125,0.47472,0.38299,1.02649,1.24874,1.54454,1.26888,0.00159274,0.00159274,0.00159274
20,538.158,0.277,0.27577,0.29788,0.84867,0.44834,0.61065,0.50377,0.37811,0.44834,0.61065,0.50377,0.39275,1.10679,1.14245,1.5682,1.35154,0.00158861,0.00158861,0.00158861
21,564.751,0.26257,0.27352,0.29034,0.8335,0.36171,0.62065,0.44022,0.29195,0.42939,0.525,0.4292,0.32086,1.21112,1.11755,1.63133,1.43362,0.00158448,0.00158448,0.00158448
22,590.088,0.27154,0.27634,0.30724,0.83697,0.28745,0.61667,0.46853,0.35984,0.28745,0.61667,0.46853,0.38304,1.00318,1.0546,1.74432,1.26564,0.00158036,0.00158036,0.00158036
23,615.361,0.26626,0.27154,0.28763,0.83943,0.46345,0.65618,0.50556,0.35946,0.44048,0.6375,0.48188,0.37825,1.02567,1.07888,1.54378,1.26637,0.00157623,0.00157623,0.00157623
24,640.796,0.25976,0.25701,0.27079,0.8349,0.43186,0.52083,0.45646,0.33497,0.43186,0.52083,0.45646,0.34575,1.07204,1.11248,1.57854,1.34317,0.00157211,0.00157211,0.00157211
25,666.14,0.24776,0.25043,0.26854,0.82591,0.44676,0.69229,0.58799,0.44848,0.44676,0.69229,0.58799,0.47606,0.94964,0.97534,1.33626,1.20818,0.00156798,0.00156798,0.00156798
26,692.908,0.23934,0.26388,0.25781,0.83204,0.46214,0.61667,0.51903,0.40287,0.46214,0.61667,0.51837,0.42415,1.00761,1.04824,1.50461,1.23118,0.00156385,0.00156385,0.00156385
27,718.369,0.25241,0.25655,0.28734,0.83317,0.45612,0.80833,0.67825,0.50788,0.45612,0.80833,0.67825,0.52649,1.02884,0.94406,1.37287,1.31139,0.00155973,0.00155973,0.00155973
28,746.452,0.24384,0.24321,0.27402,0.83069,0.62634,0.57083,0.5991,0.47618,0.62634,0.57083,0.5991,0.50433,0.9539,0.94408,1.468,1.24574,0.0015556,0.0015556,0.0015556
29,772.062,0.23555,0.23082,0.24669,0.82165,0.50527,0.49168,0.50846,0.39874,0.50527,0.49168,0.50846,0.39533,0.89087,1.04004,1.37532,1.21585,0.00155148,0.00155148,0.00155148
30,797.803,0.23024,0.22467,0.24619,0.82141,0.5748,0.61667,0.62384,0.50107,0.5748,0.61667,0.62384,0.52561,0.87128,0.9429,1.32869,1.1545,0.00154735,0.00154735,0.00154735
31,824.08,0.2252,0.21324,0.23551,0.82491,0.73719,0.61667,0.66594,0.51965,0.73719,0.61667,0.66721,0.54446,0.91349,0.90949,1.3924,1.1772,0.00154323,0.00154323,0.00154323
32,850.901,0.21804,0.20647,0.23171,0.82062,0.78397,0.63615,0.69137,0.55063,0.78397,0.63615,0.69011,0.55911,0.91871,0.90611,1.11587,1.20127,0.0015391,0.0015391,0.0015391
33,878.531,0.22719,0.21451,0.22146,0.81446,0.85432,0.68762,0.8041,0.64836,0.85432,0.68762,0.80341,0.63826,0.90933,0.9205,0.98145,1.18301,0.00153497,0.00153497,0.00153497
34,905.203,0.22253,0.21107,0.21963,0.82238,0.59894,0.67267,0.71862,0.55015,0.63004,0.69513,0.74497,0.56407,0.88563,0.85425,1.18327,1.1773,0.00153085,0.00153085,0.00153085
35,930.701,0.21911,0.212,0.216,0.81649,0.78109,0.6,0.7238,0.56885,0.78109,0.6,0.7233,0.5816,0.92445,0.86671,1.14502,1.21188,0.00152672,0.00152672,0.00152672
36,956.466,0.2137,0.20512,0.20807,0.80603,0.65986,0.71542,0.76715,0.59836,0.65986,0.71542,0.7661,0.59633,0.89674,0.93904,1.02868,1.18098,0.0015226,0.0015226,0.0015226
37,981.923,0.21743,0.21453,0.21599,0.8084,0.55369,0.80417,0.74323,0.57145,0.55369,0.80417,0.74325,0.58199,0.87584,0.98491,1.00734,1.165,0.00151847,0.00151847,0.00151847
38,1007.41,0.21934,0.23149,0.21775,0.81895,0.49798,0.83724,0.60457,0.47853,0.49798,0.83724,0.61202,0.48145,0.85019,1.12117,1.26852,1.11147,0.00151434,0.00151434,0.00151434
39,1032.8,0.22055,0.22313,0.22316,0.81564,0.74814,0.47313,0.53973,0.42131,0.74814,0.47313,0.53973,0.4414,0.93862,0.84234,1.58021,1.17804,0.00151022,0.00151022,0.00151022
40,1058.61,0.21951,0.23043,0.22438,0.81096,0.74485,0.65417,0.73129,0.60453,0.74485,0.65417,0.73129,0.62126,0.88475,0.82663,1.12644,1.15101,0.00150609,0.00150609,0.00150609
41,1084.06,0.21256,0.21488,0.21216,0.81281,0.49499,0.4,0.50364,0.38751,0.49499,0.4,0.5022,0.41451,0.83975,0.90242,1.66726,1.13431,0.00150197,0.00150197,0.00150197
42,1109.47,0.2095,0.20932,0.20506,0.80595,0.60042,0.85833,0.82278,0.60924,0.60042,0.85833,0.81637,0.62184,0.87933,0.96693,0.95412,1.23714,0.00149784,0.00149784,0.00149784
43,1134.94,0.21813,0.21051,0.20568,0.81592,0.46083,0.6625,0.53438,0.43109,0.46083,0.6625,0.5354,0.44786,0.92446,0.86207,1.33429,1.22419,0.00149372,0.00149372,0.00149372
44,1160.64,0.20175,0.20422,0.2065,0.80643,0.67422,0.70833,0.75977,0.57522,0.67422,0.70833,0.75658,0.58979,0.90365,0.99475,1.18156,1.16585,0.00148959,0.00148959,0.00148959
45,1186.1,0.20586,0.19551,0.19967,0.80929,0.63248,0.74517,0.65153,0.51872,0.61058,0.72083,0.64123,0.51458,0.86203,0.92942,1.19549,1.16615,0.00148546,0.00148546,0.00148546
46,1211.51,0.21189,0.19427,0.20165,0.81182,0.56832,0.75833,0.67362,0.53211,0.56832,0.75833,0.67387,0.54366,0.9983,1.05113,1.14497,1.28071,0.00148134,0.00148134,0.00148134
47,1236.93,0.2097,0.19648,0.19779,0.80686,0.74251,0.60723,0.70675,0.57032,0.74251,0.60723,0.70675,0.5982,0.88844,0.92206,1.05465,1.26924,0.00147721,0.00147721,0.00147721
48,1262.59,0.20259,0.20471,0.19679,0.80934,0.80828,0.64583,0.70951,0.59005,0.80828,0.64583,0.70951,0.59771,0.76815,0.90039,1.10871,1.07833,0.00147309,0.00147309,0.00147309
49,1288.06,0.20728,0.19238,0.20346,0.81055,0.81217,0.6434,0.74082,0.57554,0.81217,0.6434,0.74082,0.59066,0.91584,1.01887,1.06045,1.23649,0.00146896,0.00146896,0.00146896
50,1313.79,0.20244,0.20161,0.19574,0.80891,0.85037,0.6375,0.76215,0.56816,0.85037,0.6375,0.76215,0.60341,0.89185,0.83894,0.97731,1.19139,0.00146483,0.00146483,0.00146483
51,1339.19,0.18911,0.18629,0.18383,0.80042,0.46246,0.76935,0.65368,0.53098,0.44214,0.74484,0.64287,0.54503,0.78909,0.80532,1.24489,1.11364,0.00146071,0.00146071,0.00146071
52,1365.54,0.18482,0.19063,0.17107,0.80116,0.882,0.62046,0.79906,0.65821,0.882,0.62046,0.79906,0.65901,0.80365,0.90641,0.95362,1.15728,0.00145658,0.00145658,0.00145658
53,1393.9,0.19219,0.18751,0.19209,0.80494,0.68456,0.57083,0.61619,0.49776,0.68456,0.57083,0.61619,0.49488,0.85238,1.00758,1.27849,1.14757,0.00145246,0.00145246,0.00145246
54,1419.31,0.19688,0.1823,0.20176,0.80505,0.78356,0.68333,0.78821,0.6365,0.78356,0.68333,0.78821,0.63513,0.81475,0.98347,0.9917,1.15538,0.00144833,0.00144833,0.00144833
55,1444.82,0.1914,0.18053,0.18128,0.80472,0.75191,0.76998,0.84849,0.67914,0.75191,0.76998,0.84849,0.65403,0.79647,0.99058,0.83914,1.15823,0.00144421,0.00144421,0.00144421
56,1471.88,0.18796,0.19196,0.18656,0.79954,0.76137,0.85878,0.8694,0.68843,0.76137,0.85878,0.8694,0.6763,0.83232,1.06786,0.8703,1.17519,0.00144008,0.00144008,0.00144008
57,1498.55,0.18653,0.19114,0.18154,0.80278,0.71989,0.82021,0.77243,0.61318,0.71989,0.82021,0.77243,0.61861,0.85825,0.90887,0.94053,1.17192,0.00143595,0.00143595,0.00143595
58,1524.18,0.19712,0.18277,0.18663,0.80816,0.88688,0.75819,0.8408,0.66281,0.88688,0.75819,0.8408,0.6616,0.79275,0.925,0.79438,1.15859,0.00143183,0.00143183,0.00143183
59,1550.55,0.1894,0.16727,0.17983,0.80691,0.77289,0.77702,0.82985,0.67382,0.77289,0.77702,0.82985,0.68077,0.78522,0.77195,0.79896,1.12635,0.0014277,0.0014277,0.0014277
60,1576.93,0.18774,0.17197,0.1787,0.8009,0.72402,0.78221,0.86712,0.6771,0.75281,0.77917,0.87016,0.71844,0.78568,0.83848,0.9013,1.14493,0.00142358,0.00142358,0.00142358
61,1603.75,0.1823,0.16187,0.16839,0.79872,0.81368,0.73834,0.83226,0.66291,0.81325,0.70326,0.81132,0.65115,0.77265,0.95504,0.89423,1.17491,0.00141945,0.00141945,0.00141945
62,1629.13,0.18898,0.1729,0.17458,0.80012,0.71776,0.67383,0.76899,0.62873,0.71752,0.67406,0.77703,0.62691,0.77455,0.9504,0.94796,1.16512,0.00141532,0.00141532,0.00141532
63,1654.6,0.17153,0.16648,0.15587,0.79133,0.87011,0.87418,0.91835,0.72623,0.87011,0.87418,0.91835,0.7347,0.76955,0.8898,0.69198,1.1635,0.0014112,0.0014112,0.0014112
64,1681.62,0.17438,0.1582,0.16521,0.79932,0.72625,0.6125,0.67933,0.54023,0.72625,0.6125,0.67933,0.55055,0.75654,0.83406,1.24242,1.14502,0.00140707,0.00140707,0.00140707
65,1708.02,0.17774,0.17691,0.17461,0.7918,0.65541,0.87591,0.82468,0.6332,0.65541,0.87591,0.82468,0.65837,0.77712,0.83774,0.86156,1.14436,0.00140295,0.00140295,0.00140295
66,1734.43,0.17247,0.16746,0.15896,0.79414,0.59843,0.73069,0.74641,0.60616,0.59843,0.73069,0.74641,0.60998,0.78156,0.84026,1.01919,1.14211,0.00139882,0.00139882,0.00139882
67,1761.15,0.17776,0.17521,0.17535,0.79457,0.83532,0.70417,0.75491,0.60952,0.83532,0.70417,0.75589,0.60248,0.76794,0.88965,1.01219,1.16486,0.0013947,0.0013947,0.0013947
68,1787.03,0.17362,0.16608,0.15771,0.80219,0.77818,0.77522,0.82027,0.66284,0.77818,0.77522,0.82027,0.66705,0.75375,0.84413,0.9529,1.15624,0.00139057,0.00139057,0.00139057
69,1812.47,0.16574,0.16587,0.15171,0.78867,0.67562,0.80833,0.73707,0.63774,0.67562,0.80833,0.73707,0.63921,0.71441,0.8386,1.01502,1.05785,0.00138644,0.00138644,0.00138644
70,1838.16,0.18277,0.1593,0.17148,0.80484,0.63564,0.79446,0.77823,0.61304,0.63564,0.79446,0.77823,0.61658,0.79517,0.73954,0.9689,1.18124,0.00138232,0.00138232,0.00138232
71,1863.74,0.1803,0.17301,0.17047,0.79818,0.8583,0.70833,0.81606,0.67291,0.84024,0.7215,0.82269,0.67197,0.75192,0.81796,0.94194,1.14481,0.00137819,0.00137819,0.00137819
72,1889.99,0.1863,0.16211,0.16686,0.80085,0.77066,0.82109,0.80334,0.62523,0.77066,0.82109,0.80334,0.64513,0.7715,0.7742,0.85098,1.1249,0.00137407,0.00137407,0.00137407
73,1916.28,0.16231,0.14517,0.15331,0.78681,0.76856,0.70417,0.76147,0.59836,0.79146,0.72244,0.78813,0.62191,0.76718,0.73035,1.00653,1.14273,0.00136994,0.00136994,0.00136994
74,1942.04,0.16692,0.15333,0.15355,0.78888,0.68111,0.78333,0.82862,0.65729,0.68111,0.78333,0.83174,0.66596,0.78811,0.83348,0.87543,1.1684,0.00136581,0.00136581,0.00136581
75,1967.63,0.16702,0.15787,0.15374,0.7799,0.7272,0.78333,0.80601,0.65297,0.7272,0.78333,0.81689,0.65941,0.71013,0.7728,0.91682,1.10541,0.00136169,0.00136169,0.00136169
76,1993.25,0.15873,0.1474,0.14339,0.79475,0.7359,0.76937,0.80903,0.64403,0.7359,0.76937,0.80903,0.66114,0.75952,0.8123,0.83941,1.10825,0.00135756,0.00135756,0.00135756
77,2018.68,0.16352,0.1565,0.14595,0.79245,0.7107,0.79661,0.82295,0.66377,0.7107,0.79661,0.82295,0.67218,0.76237,0.84576,0.87143,1.1001,0.00135344,0.00135344,0.00135344
