epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,226.23,1.03453,1.23795,1.49557,1.23665,0.28503,0.6125,0.45106,0.32797,0.28503,0.6125,0.45106,0.32906,1.04353,1.25971,2.04979,1.29634,0.00154323,0.00154323,0.00154323
32,232.462,1.06508,1.24687,1.50455,1.2894,0.70668,0.55054,0.65156,0.47404,0.70668,0.55054,0.65156,0.48415,1.07868,1.17811,1.59237,1.32409,0.0015391,0.0015391,0.0015391
33,240.023,1.04235,1.23506,1.4249,1.24621,0.7472,0.47917,0.56143,0.41431,0.67928,0.45417,0.5202,0.38797,1.13352,1.25765,1.6197,1.36533,0.00153497,0.00153497,0.00153497
34,246.312,0.99662,1.22405,1.34504,1.2159,0.73194,0.41502,0.5585,0.42329,0.73194,0.41502,0.56291,0.43533,1.12679,1.21535,1.62223,1.41983,0.00153085,0.00153085,0.00153085
35,252.407,1.10382,1.29535,1.40981,1.31194,0.70951,0.70625,0.70895,0.50555,0.70951,0.70625,0.70162,0.49954,1.07635,1.2801,1.36909,1.3391,0.00152672,0.00152672,0.00152672
36,259.78,0.99856,1.1978,1.2646,1.19269,0.71495,0.63557,0.63931,0.48089,0.71495,0.63557,0.64101,0.4894,0.91251,1.20429,1.38925,1.24581,0.0015226,0.0015226,0.0015226
37,265.89,0.97526,1.1376,1.3128,1.19718,0.84856,0.54303,0.69884,0.51268,0.84856,0.54303,0.69878,0.51371,1.0167,1.21767,1.25913,1.26113,0.00151847,0.00151847,0.00151847
38,273.532,0.99328,1.19577,1.26411,1.20956,0.65403,0.4875,0.55532,0.43185,0.65403,0.4875,0.55264,0.43808,1.0149,1.08461,1.53189,1.29956,0.00151434,0.00151434,0.00151434
39,279.632,0.97838,1.09468,1.24638,1.19503,0.53797,0.62083,0.55889,0.41741,0.53797,0.62083,0.56222,0.43411,1.10176,1.23281,1.89887,1.33215,0.00151022,0.00151022,0.00151022
40,285.741,0.9778,1.21466,1.24092,1.21438,0.47942,0.51667,0.5048,0.38455,0.47942,0.51667,0.51237,0.39189,1.00818,1.09045,2.32663,1.33677,0.00150609,0.00150609,0.00150609
41,291.853,0.97161,1.19663,1.30457,1.19613,0.83434,0.53592,0.68239,0.49223,0.83434,0.53592,0.6837,0.50969,1.02268,1.17104,1.55669,1.28447,0.00150197,0.00150197,0.00150197
42,297.985,0.97805,1.18827,1.15725,1.20224,0.75521,0.70833,0.77646,0.55059,0.75521,0.70833,0.77646,0.54617,1.03933,1.15099,1.27395,1.25586,0.00149784,0.00149784,0.00149784
43,305.568,0.99033,1.11392,1.23248,1.21625,0.86105,0.6875,0.76025,0.53518,0.87456,0.72917,0.78976,0.51407,1.07421,1.27721,1.37709,1.31528,0.00149372,0.00149372,0.00149372
44,311.656,0.95957,1.17423,1.21176,1.18412,0.85517,0.61553,0.7469,0.57834,0.85517,0.61553,0.74041,0.55446,0.9836,1.35337,1.21901,1.25465,0.00148959,0.00148959,0.00148959
45,319.052,0.94069,1.05606,1.10204,1.16822,0.72015,0.74134,0.73581,0.57077,0.72015,0.74134,0.73581,0.56526,0.99025,1.29375,1.09869,1.27691,0.00148546,0.00148546,0.00148546
46,326.458,0.93228,1.15162,1.17701,1.17864,0.73992,0.65833,0.72377,0.55949,0.73992,0.65833,0.72105,0.55939,1.00131,1.24929,1.30151,1.2579,0.00148134,0.00148134,0.00148134
