epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3685.66,0.70856,0.63565,0.974,0.96673,0.92105,0.96132,0.79824,0.62842,0.59246,1.00596,0.0011882,0.0011882,0.0011882
43,3779.04,0.71038,0.59683,0.96718,0.95987,0.86842,0.94238,0.75662,0.69055,0.6615,1.04419,0.0011684,0.0011684,0.0011684
44,3874.84,0.74101,0.62158,0.97897,0.96901,0.86842,0.94338,0.77399,0.69458,0.59582,1.07239,0.0011486,0.0011486,0.0011486
45,3967.72,0.66889,0.58202,0.95334,0.96455,0.86842,0.91795,0.74022,0.66618,0.74685,1.03559,0.0011288,0.0011288,0.0011288
46,4061.6,0.67787,0.60936,0.99922,0.99502,0.89474,0.93943,0.76613,0.68685,0.63312,1.05154,0.001109,0.001109,0.001109
47,4155.12,0.66942,0.56057,0.96507,0.95819,0.92105,0.95188,0.78393,0.6445,0.61455,1.05011,0.0010892,0.0010892,0.0010892
48,4249.18,0.66143,0.56106,0.95356,0.96234,0.86842,0.94326,0.75995,0.67543,0.58907,1.09761,0.0010694,0.0010694,0.0010694
49,4342.35,0.6583,0.54966,0.94525,0.9481,0.89474,0.96159,0.80049,0.63044,0.57764,1.00833,0.0010496,0.0010496,0.0010496
50,4437.63,0.65272,0.58283,0.94439,0.96875,0.94737,0.97035,0.79818,0.60521,0.5619,1.00426,0.0010298,0.0010298,0.0010298
51,4530.64,0.69834,0.56164,0.97,0.97392,0.92105,0.97165,0.79769,0.57391,0.56009,1.02365,0.00101,0.00101,0.00101
52,4624.43,0.70535,0.58201,0.98156,0.97069,0.92105,0.97366,0.80571,0.58167,0.56871,1.01237,0.0009902,0.0009902,0.0009902
53,4717.17,0.66331,0.53986,0.93859,0.97168,0.92105,0.97443,0.81762,0.58489,0.54973,1.01792,0.0009704,0.0009704,0.0009704
54,4811.37,0.64713,0.53145,0.95107,0.98141,0.89474,0.98138,0.83141,0.56948,0.48423,1.0089,0.0009506,0.0009506,0.0009506
55,4903.9,0.63961,0.51869,0.95575,0.93685,0.92105,0.9628,0.81947,0.56003,0.50925,0.98855,0.0009308,0.0009308,0.0009308
56,4998.46,0.63821,0.51848,0.93791,0.99504,0.92105,0.97288,0.8193,0.54084,0.48476,0.98022,0.000911,0.000911,0.000911
57,5091.19,0.64139,0.52369,0.94965,1,0.91682,0.97254,0.82096,0.58971,0.51575,0.99898,0.0008912,0.0008912,0.0008912
58,5185.39,0.61281,0.49358,0.9212,0.96915,0.92105,0.97219,0.83016,0.60106,0.51148,1.00862,0.0008714,0.0008714,0.0008714
59,5278.56,0.63909,0.50267,0.95828,0.97216,0.91898,0.96841,0.81531,0.57528,0.52103,1.00814,0.0008516,0.0008516,0.0008516
60,5377.86,0.60118,0.51687,0.94045,0.94393,0.94737,0.97138,0.82503,0.52961,0.49909,0.97016,0.0008318,0.0008318,0.0008318
61,5471.69,0.63058,0.50615,0.93731,0.96947,0.92105,0.96137,0.8245,0.5148,0.48774,0.94064,0.000812,0.000812,0.000812
62,5565.84,0.63172,0.50607,0.92629,0.97296,0.94682,0.96473,0.81666,0.55671,0.48274,0.96183,0.0007922,0.0007922,0.0007922
63,5659.56,0.57185,0.47549,0.93659,0.9803,0.92105,0.9822,0.82171,0.57428,0.48115,0.98344,0.0007724,0.0007724,0.0007724
64,5753.48,0.61033,0.4926,0.92333,0.98935,0.94737,0.97388,0.79977,0.62351,0.51577,1.03292,0.0007526,0.0007526,0.0007526
65,5846.83,0.6069,0.47812,0.92394,0.96832,0.92105,0.96295,0.79774,0.59148,0.53917,0.99965,0.0007328,0.0007328,0.0007328
66,5941.11,0.59982,0.48138,0.93321,0.9371,0.92105,0.96163,0.81094,0.55247,0.52009,0.96503,0.000713,0.000713,0.000713
67,6034.34,0.61673,0.50308,0.92937,0.9907,0.92105,0.98087,0.82952,0.52774,0.44097,0.95763,0.0006932,0.0006932,0.0006932
68,6128.68,0.5798,0.47629,0.93995,0.99019,0.92105,0.98357,0.82448,0.56833,0.44948,0.97107,0.0006734,0.0006734,0.0006734
69,6222.22,0.62414,0.4983,0.94115,0.94714,0.94315,0.98171,0.82849,0.55407,0.50524,0.97389,0.0006536,0.0006536,0.0006536
70,6315.82,0.54639,0.45041,0.91867,0.94208,0.92105,0.98382,0.83101,0.5867,0.48795,0.98197,0.0006338,0.0006338,0.0006338
71,6408.68,0.57586,0.4313,0.90971,0.92421,0.97368,0.98768,0.83431,0.58489,0.45847,0.97491,0.000614,0.000614,0.000614
72,6502.51,0.58751,0.46191,0.93804,0.90061,1,0.98752,0.8337,0.57019,0.45612,0.96377,0.0005942,0.0005942,0.0005942
73,6596.8,0.58809,0.46291,0.92999,0.9544,0.92105,0.98413,0.83787,0.55071,0.47836,0.95763,0.0005744,0.0005744,0.0005744
74,6690.35,0.54333,0.44277,0.92646,0.99315,0.92105,0.98333,0.83222,0.5513,0.49111,0.96492,0.0005546,0.0005546,0.0005546
75,6783.73,0.53845,0.44737,0.91383,0.999,0.92105,0.98559,0.83606,0.55991,0.49677,0.96408,0.0005348,0.0005348,0.0005348
76,6878.61,0.58719,0.45001,0.92878,1,0.91601,0.98827,0.85764,0.53386,0.4644,0.96147,0.000515,0.000515,0.000515
77,6971.15,0.56482,0.45027,0.93623,0.94443,0.97368,0.98777,0.85928,0.52525,0.46356,0.96034,0.0004952,0.0004952,0.0004952
78,7065.78,0.53253,0.40311,0.90568,0.97243,1,0.99372,0.87126,0.54856,0.42413,0.95647,0.0004754,0.0004754,0.0004754
79,7158.39,0.53598,0.40556,0.91095,0.97138,1,0.99449,0.86767,0.54126,0.39599,0.94508,0.0004556,0.0004556,0.0004556
80,7251.87,0.53676,0.41922,0.9271,0.99534,1,0.995,0.86307,0.53136,0.39772,0.94499,0.0004358,0.0004358,0.0004358
81,7344.82,0.5219,0.3854,0.88702,0.97102,1,0.99372,0.87019,0.53587,0.40986,0.95683,0.000416,0.000416,0.000416
82,7439.21,0.50895,0.38599,0.89168,0.97427,0.99656,0.99449,0.86968,0.54896,0.41454,0.96203,0.0003962,0.0003962,0.0003962
83,7533.14,0.52517,0.39558,0.89729,0.99739,0.97368,0.99267,0.86544,0.52137,0.40569,0.95105,0.0003764,0.0003764,0.0003764
84,7627.29,0.52379,0.40361,0.92351,0.99303,0.97368,0.99227,0.87103,0.52769,0.39316,0.94842,0.0003566,0.0003566,0.0003566
85,7720.66,0.56852,0.40146,0.93859,0.97145,0.97368,0.99231,0.87275,0.54344,0.3959,0.95127,0.0003368,0.0003368,0.0003368
86,7814.65,0.53567,0.41023,0.90681,1,0.96606,0.99354,0.88085,0.54001,0.41049,0.94435,0.000317,0.000317,0.000317
87,7907.96,0.51244,0.38674,0.91992,0.97367,0.97368,0.99231,0.86362,0.51302,0.41798,0.93429,0.0002972,0.0002972,0.0002972
88,8002.15,0.53045,0.39932,0.91011,0.99779,0.94737,0.99148,0.86441,0.52445,0.39869,0.93904,0.0002774,0.0002774,0.0002774
89,8095.6,0.4805,0.37897,0.89378,0.9977,0.94737,0.99134,0.86302,0.52326,0.38282,0.92813,0.0002576,0.0002576,0.0002576
90,8189.49,0.47197,0.35134,0.88282,1,0.97241,0.9931,0.86191,0.51197,0.37758,0.9177,0.0002378,0.0002378,0.0002378
91,8282.67,0.46127,0.35496,0.87401,0.99639,0.97368,0.9931,0.87238,0.50889,0.36433,0.91465,0.000218,0.000218,0.000218
92,8379.22,0.46466,0.35658,0.90609,0.9969,0.97368,0.9931,0.88259,0.50387,0.35412,0.91435,0.0001982,0.0001982,0.0001982
93,8473.87,0.45246,0.34439,0.88356,0.99735,0.97368,0.99449,0.87626,0.49234,0.34535,0.90856,0.0001784,0.0001784,0.0001784
94,8570.48,0.45666,0.33737,0.8763,0.99703,0.97368,0.99449,0.87395,0.50678,0.33835,0.9102,0.0001586,0.0001586,0.0001586
95,8666.61,0.4619,0.34756,0.88758,1,0.99685,0.995,0.87361,0.51541,0.33908,0.91548,0.0001388,0.0001388,0.0001388
96,8761.61,0.43547,0.3352,0.86037,1,0.99758,0.995,0.8728,0.50909,0.34434,0.92541,0.000119,0.000119,0.000119
97,8857.5,0.43548,0.31996,0.87281,1,0.99853,0.995,0.88467,0.49335,0.34606,0.92958,9.92e-05,9.92e-05,9.92e-05
98,8951.4,0.41329,0.32119,0.86572,1,0.99778,0.995,0.88694,0.48617,0.34337,0.9305,7.94e-05,7.94e-05,7.94e-05
99,9044.31,0.4106,0.31666,0.86077,1,0.99856,0.995,0.88085,0.48888,0.34722,0.93179,5.96e-05,5.96e-05,5.96e-05
100,9111.92,0.43482,0.32863,0.87213,1,0.99736,0.995,0.88401,0.48493,0.34663,0.93046,3.98e-05,3.98e-05,3.98e-05
